image,psnr,ssim
img_003_SRF_2_HR,25.093815004720046,0.8210055664867786
img_011_SRF_4_HR,19.98007525909509,0.814132462033868
img_012_SRF_4_HR,24.2229211107718,0.8267527515478579
img_013_SRF_2_HR,27.807259251107933,0.9026719688808934
img_021_SRF_2_HR,29.508789830047697,0.8774062111851659
img_022_SRF_4_HR,26.31757814883581,0.842781786517301
img_029_SRF_2_HR,25.54509907496311,0.8508899061258756
img_041_SRF_4_HR,24.804111189885152,0.8908029710935785
img_045_SRF_2_HR,22.92353888772589,0.8002066430168988
img_059_SRF_4_HR,21.68965973895976,0.8102389440481345
img_063_SRF_2_HR,19.60230787239059,0.767979478311026
img_063_SRF_4_HR,21.546425801906565,0.6655203992095147
img_071_SRF_2_HR,28.61556221348718,0.8038538114865763
img_075_SRF_4_HR,29.518649632121207,0.8882171335550699
img_078_SRF_2_HR,27.69610130928332,0.8360670825709136
img_080_SRF_2_HR,34.54897241298651,0.9588113528147623
img_081_SRF_2_HR,30.151349152778685,0.9621062450167716
img_081_SRF_4_HR,33.50372064770864,0.9689740024030016
img_097_SRF_2_HR,25.678129566988765,0.8718769175059022
img_099_SRF_4_HR,24.709870781782463,0.8280398758413029
